country,continent
Abkhazia,Asia
Afghanistan,Asia
Akrotiri and Dhekelia,Asia
Albania,Europe
Algeria,Africa
American Samoa,Oceania
Andorra,Europe
Angola,Africa
Anguilla,America
Antarctica,Antarctica
Antigua and Barbuda,America
Argentina,America
Armenia,Asia
Aruba,America
Australia,Oceania
Austria,Europe
Austria-Hungary,Europe
Azerbaijan,Asia
Baden,Europe
Bahamas,America
Bahrain,Asia
Bangladesh,Asia
Barbados,America
Bavaria,Europe
Belarus,Europe
Belgium,Europe
Belize,America
Benin,Africa
Bermuda,America
Bhutan,Asia
Bolivia,America
Bonaire Sint Eustatius and Saba,America
Bosnia and Herzegovina,Europe
Botswana,Africa
Bouvet Island,Antarctica
Brazil,America
British Indian Ocean Territory,Asia
Virgin Islands (British),America
Brunei,Asia
Bulgaria,Europe
Burkina Faso,Africa
Burundi,Africa
Cambodia,Asia
Cameroon,Africa
Canada,America
Cape Verde,Africa
Cayman Islands,America
Central African Republic,Africa
Chad,Africa
Channel Islands,Europe
Chile,America
China,Asia
Christmas Island,Asia
Cocos Islands,Asia
Colombia,America
Comoros,Africa
Congo,Africa
Cook Islands,Oceania
Costa Rica,America
Cote d'Ivoire,Africa
Croatia,Europe
Cuba,America
Curacao,America
Cyprus,Europe
Czechia,Europe
Czechoslovakia,Europe
Democratic Republic of Congo,Africa
Denmark,Europe
Djibouti,Africa
Dominica,America
Dominican Republic,America
East Germany,Europe
Ecuador,America
Egypt,Africa
El Salvador,America
Equatorial Guinea,Africa
Eritrea,Africa
Eritrea and Ethiopia,Africa
Estonia,Europe
Eswatini,Africa
Ethiopia,Africa
Faeroe Islands,Europe
Falkland Islands,America
Fiji,Oceania
Finland,Europe
France,Europe
French Guiana,America
French Polynesia,Oceania
French Southern Territories,Antarctica
Gabon,Africa
Gambia,Africa
Georgia,Asia
Germany,Europe
Ghana,Africa
Gibraltar,Europe
Greece,Europe
Greenland,America
Grenada,America
Guadeloupe,America
Guam,Oceania
Guatemala,America
Guernsey,Europe
Guinea,Africa
Guinea-Bissau,Africa
Guyana,America
Haiti,America
Hanover,Europe
Heard Island and McDonald Islands,Antarctica
Hesse Electoral,Europe
Hesse Grand Ducal,Europe
Honduras,America
Hong Kong,Asia
Hungary,Europe
Iceland,Europe
India,Asia
Indonesia,Asia
Iran (Islamic Republic of),Asia
Iraq,Asia
Ireland,Europe
Isle of Man,Europe
Israel,Asia
Italy,Europe
Jamaica,America
Japan,Asia
Jersey,Europe
Jordan,Asia
Kazakhstan,Asia
Kenya,Africa
Kiribati,Oceania
Kosovo,Europe
Kuwait,Asia
Kyrgyzstan,Asia
Laos,Asia
Latvia,Europe
Lebanon,Asia
Lesotho,Africa
Liberia,Africa
Libya,Africa
Liechtenstein,Europe
Lithuania,Europe
Luxembourg,Europe
Macao,Asia
Madagascar,Africa
Malawi,Africa
Malaysia,Asia
Maldives,Asia
Mali,Africa
Malta,Europe
Marshall Islands,Oceania
Martinique,America
Mauritania,Africa
Mauritius,Africa
Mayotte,Africa
Mecklenburg Schwerin,Europe
Mexico,America
Micronesia (country),Oceania
Modena,Europe
Moldova (Republic of),Europe
Monaco,Europe
Mongolia,Asia
Montenegro,Europe
Montserrat,America
Morocco,Africa
Mozambique,Africa
Myanmar,Asia
Nagorno-Karabakh,Asia
Namibia,Africa
Nauru,Oceania
Nepal,Asia
Netherlands,Europe
Netherlands Antilles,America
New Caledonia,Oceania
New Zealand,Oceania
Nicaragua,America
Niger,Africa
Nigeria,Africa
Niue,Oceania
Norfolk Island,Oceania
North Korea,Asia
North Macedonia,Europe
Northern Cyprus,Asia
Northern Mariana Islands,Oceania
Norway,Europe
Oman,Asia
Pakistan,Asia
Palau,Oceania
Palestine,Asia
Panama,America
Papua New Guinea,Oceania
Paraguay,America
Parma,Europe
Peru,America
Philippines,Asia
Pitcairn,Oceania
Poland,Europe
Portugal,Europe
Puerto Rico,America
Qatar,Asia
Republic of Vietnam,Asia
Reunion,Africa
Romania,Europe
Russian Federation,Europe
Rwanda,Africa
Saint Barthélemy,America
Saint Helena,Africa
Saint Kitts and Nevis,America
Saint Lucia,America
Saint Martin (French part),America
Saint Pierre and Miquelon,America
Saint Vincent and the Grenadines,America
Samoa,Oceania
San Marino,Europe
Sao Tome and Principe,Africa
Saudi Arabia,Asia
Saxony,Europe
Senegal,Africa
Serbia,Europe
Serbia and Montenegro,Europe
Serbia excluding Kosovo,Europe
Seychelles,Africa
Sierra Leone,Africa
Singapore,Asia
Sint Maarten (Dutch part),America
Slovakia,Europe
Slovenia,Europe
Solomon Islands,Oceania
Somalia,Africa
Somaliland,Africa
South Africa,Africa
South Georgia and the South Sandwich Islands,America
Korea (Republic of),Asia
South Ossetia,Asia
South Sudan,Africa
Spain,Europe
Sri Lanka,Asia
Sudan,Africa
Suriname,America
Svalbard and Jan Mayen,Europe
Sweden,Europe
Switzerland,Europe
Syria,Asia
Taiwan (Province of China),Asia
Tajikistan,Asia
"Tanzania, United Republic of",Africa
Thailand,Asia
Timor,Asia
Togo,Africa
Tokelau,Oceania
Tonga,Oceania
Transnistria,Europe
Trinidad and Tobago,America
Tunisia,Africa
Turkey,Asia
Turkmenistan,Asia
Turks and Caicos Islands,America
Tuscany,Europe
Tuvalu,Oceania
Two Sicilies,Europe
USSR,Europe
Uganda,Africa
Ukraine,Europe
United Arab Emirates,Asia
United Kingdom of Great Britain and Northern Ireland,Europe
United Korea,Asia
United States of America,America
United States Minor Outlying Islands,Oceania
United States Virgin Islands,America
Uruguay,America
Uzbekistan,Asia
Vanuatu,Oceania
Vatican,Europe
Venezuela,America
Viet Nam,Asia
Wallis and Futuna,Oceania
West Germany,Europe
Western Sahara,Africa
Wuerttemburg,Europe
Yemen,Asia
Yemen Arab Republic,Asia
Yemen People's Republic,Asia
Yugoslavia,Europe
Zambia,Africa
Zanzibar,Africa
Zimbabwe,Africa
Åland Islands,Europe
