site,routerKey,routerValue,method,hostKey,cmdKey,cmdValue,requestPath,data,match
http://104.227.175.51/,,,get,host,cmd,ping,http://104.227.175.51/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://www.iptp.com/zh_CN/iptp-tools/lg/,router,r0402ld4lnduk,get,query,command,ping,https://www.iptp.com/zh_CN/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://customer.vpls.net/,host,hkg-lg,get,arg,cmd,ping4,https://customer.vpls.net//result,"{'host': 'sin-lg', 'cmd': 'mtr6', 'arg': ''}",True
http://lg.invitel.net,router,"Budapest, Infopark",POST,addr,query,ping,http://lg.invitel.net//,"{'query': 'trace', 'protocol': 'IPv4', 'addr': '', 'router': 'Budapest, BIX'}",True
https://lg.iptp.net/ja/iptp-tools/lg/,router,r0bc05bbttyjp,get,query,command,ping,https://lg.iptp.net/ja/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
https://lg.upx.com/,router,rs1.upx.net.br,get,query,command,ping,https://lg.upx.com/,"{'command': 'ping', 'query': '', 'router': 'rs1.upx.net.br', 'protocol': 'ipv4'}",True
http://lg.as6453.net/lg/?query=bgp&amp;protocol=IPv6&amp;addr=2001:500:4::/48&amp;router=gin-aeq-6bb1,router,gin-sv1-tcore1,POST,addr,query,ping,http://lg.as6453.net//lg/,"{'query': 'trace', 'addr': '183.173.109.247', 'protocol': 'IPv4', 'router': 'gin-kt1-tcore2'}",True
http://lg.clt01.quickpacket.com,,,get,host,cmd,ping,http://lg.clt01.quickpacket.com/ajax.php,"{'host': '', 'cmd': 'host'}",True
https://lg.smile-hosting.fr,routers,Equinix-IX,post,parameter,query,ping,https://lg.smile-hosting.fr/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'LyonIX', 'query': 'bgp'}",True
http://lg.experts.net.br/,router,GBLX | Level 3,get,query,command,ping,http://lg.experts.net.br/,"{'command': 'ping', 'query': '', 'protocol': 'ipv4', 'router': 'EXPERTS-CBS'}",True
https://www.iptp.com/pt_PT/iptp-tools/lg/,router,8642451eebba,get,query,command,ping,https://www.iptp.com/pt_PT/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
http://lg.tario.ru/,router,RTR3,POST,addr,query,ping,http://lg.tario.ru//,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'RTR3'}",True
http://lg.as6453.net/bin/lg.cgi,router,gin-asina-tcore1,POST,addr,query,ping,http://lg.as6453.net//lg/,"{'query': 'trace', 'addr': '183.173.109.247', 'protocol': 'IPv4', 'router': 'gin-tv2-tcore1'}",True
https://lookingglass.sunet.se/lg.cgi,router,cth-r1,POST,addr,query,ping,https://lookingglass.sunet.se//lg.cgi,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'bos-r1'}",True
https://www.iptp.com/zh_CN/iptp-tools/lg/,router,d599d0138034,get,query,command,ping,https://www.iptp.com/zh_CN/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
http://aurora.on.tac.net/,router,BBNplanet,POST,addr,query,ping,http://aurora.on.tac.net//,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'TELUS_EAST_LG11'}",True
https://lookingglass.centurylink.com/,site_name,Fortaleza-Brazil,post,ip,category,ping,https://lookingglass.centurylink.com/,"{'category': 'bgp', 'ip': '', 'mask': '', 'site_name': 'CapeTown-SouthAfrica', 'packet_size': '64', 'packet_count': '1'}",True
http://www.as37662.net/LG/,routers,router15,post,parameter,query,ping,http://www.as37662.net/LG/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'router1', 'query': 'bgp'}",True
http://lg.as3326.net,routers,router8,post,parameter,query,ping,http://lg.as3326.net/execute.php,"{'parameter': '', 'dontlook': '', 'routers': 'router3', 'query': 'bgp'}",True
https://lg.iptp.net/en_US/iptp-tools/lg/,router,63d09bf27f7c,get,query,command,ping,https://lg.iptp.net/en_US/iptp-tools/lg/,"{'command': 'trace', 'query': '', 'router': 'f445252ea09c', 'protocol': 'ipv4'}",True
http://lg.iix.net.id/cgi-bin/lgform.cgi,router,iix-jk2.csf:cisco,post,args,query,ping,http://lg.iix.net.id/cgi-bin/lg.cgi,"{'query': 'damp', 'args': '', 'router': 'iix-jk2.csf:cisco'}",True
https://lookingglass.centurylink.com/,site_name,Munich-Germany,post,ip,category,ping,https://lookingglass.centurylink.com/,"{'category': 'bgp', 'ip': '', 'mask': '', 'site_name': 'CapeTown-SouthAfrica', 'packet_size': '64', 'packet_count': '1'}",True
